प्रश्न,विकल्प A,विकल्प B,विकल्प C,विकल्प D,सही उत्तर,Level
"""दिन-रात स्वामी तेरे गीत गाऊँ"" - इस भजन में जीवन की नैया को कहाँ से पार लगाने की प्रार्थना है?",गम के दरिया से,सुख के सागर से,भवसागर से,नदी से,1,Medium
"""हे जिनवाणी माता"" - इस भजन में जिनवाणी को 'तीन जगत की माता' क्यों कहा गया है?",क्योंकि वह तीनों लोकों का यथार्थ स्वरूप बताकर हित करती है,क्योंकि उसके तीन भाग हैं,क्योंकि उसे तीन लोगों ने लिखा है,क्योंकि वह तीन बार पढ़ी जाती है,1,Medium
"""ज्ञाता द्वष्टा राही हूँ"" - इस भजन में 'आगम' शब्द का प्रयोग किस अर्थ में हुआ है?",शास्त्र,आगे,आना,निश्चय,2,Hard
"""सकल ज्ञेय ज्ञायक तदपि"" - इस स्तुति में, कवि अपने 'दुःखगद' को हरने के लिए किसे 'इलाज' मानते हैं?",वैद्य को,औषधि को,जिनेन्द्र को,मित्र को,3,Medium
"""अति पुण्य उदय मम आया"" - इस भजन में 'दो-बीस परिषह' का क्या अर्थ है?",20 परिषह,22 परिषह,12 परिषह,10 परिषह,2,Hard
"""मिथ्यातम नाशवे को"" - यह स्तुति जिनवाणी को 'भव्य उर आनी है' क्यों कहती है?",काहू न सतायवे को (किसी को न सताने का भाव जगाने हेतु),सबको सताने हेतु,सबको रुलाने हेतु,सबको डराने हेतु,1,Medium
"""वीर-हिमाचल तें निकसी"" - इस स्तुति में 'जग की जड़ता-तप' को दूर करने का क्या अर्थ है?",संसार की गर्मी दूर करना,संसार के जीवों की अज्ञानता और निष्क्रियता को दूर करना,संसार की गरीबी दूर करना,संसार के दुःख दूर करना,2,Hard
"""शुद्धातम है मेरा नाम"" - इस कविता में 'स्वपर-भेद विज्ञान' का अंतिम लक्ष्य क्या है?",चिदानंद रस का पान करना,संसार में घूमना,धन कमाना,दूसरों से लड़ना,1,Medium
"""वीतराग सर्वज्ञ हितंकर"" - इस प्रार्थना में 'तोष सुधा' का क्या अर्थ है?",संतोष रूपी अमृत,दूध,घी,शहद,1,Hard
"""द्रव्य रूप करि सर्व थिर"" - इन दोहों में 'आन कल्पना' किसके उदय से होती है?",ज्ञान के उदय से,मोह के उदय से,चारित्र के उदय से,वीर्य के उदय से,2,Medium
"""केवलं-रवि-किरणों से"" - इस पूजा में 'अंतर लौ' से क्या जलाने की बात की गई है?",बाहरी दीपक,मोमबत्ती,अंतर-दीप,घर की बत्ती,3,Medium
"""समयसार जिनदेव हैं"" - इस पद के अनुसार, 'जिनमत में मिथ्यात्व' क्या है?",वीतरागता में धर्म मानना,राग भाव में धर्म मानना,दान देने को धर्म मानना,पूजा करने को धर्म मानना,2,Hard
"""चिदानन्द स्वातमरसी"" - इस पूजा में, 'मनसिज' को ठुकराने का क्या अर्थ है?",मन से उत्पन्न पुत्र को ठुकराना,कामदेव को जीतना,मन के विकल्पों को ठुकराना,मित्रों को ठुकराना,2,Hard
"""ना ये राग होगा ना रागी रहेंगे"" - इस भजन में, 'मेरा नाथ मुझमें ही तुमने बताया', यह पंक्ति किसकी ओर संकेत करती है?",निश्चय नय से आत्मा ही परमात्मा है,व्यवहार नय से पंच परमेष्ठी ही नाथ हैं,गुरु ही नाथ हैं,शास्त्र ही नाथ हैं,1,Hard
"""हे कुंद कुंद आप ने"" - इस भजन में, 'भोगों की भीड़ में योगी दिखा दिया', इस पंक्ति का क्या आशय है?",भोगों के बीच में किसी साधु को दिखा दिया,"भोगों के बीच रहते हुए भी आत्मा भोगों से अलिप्त योगी स्वभाव वाला है, यह दिखा दिया",भोगों को छोड़कर योगी बन गए,भोग और योग दोनों को एक बता दिया,2,Hard
"रिक्त स्थान की पूर्ति करें: (शुद्धातम...) ""सप्त भयों से नहीं ______ ।।""",भागेंगे,डरेंगे,लड़ेंगे,छिपेंगे,2,Easy
"रिक्त स्थान की पूर्ति करें: (वीतराग...) ""न्याय मार्ग को लेश न ______,""",पकड़ें,त्यागें,देखें,जानें,2,Medium
"रिक्त स्थान की पूर्ति करें: (अति पुण्य...) ""धरकर दिगम्बर रूप कब, अठ-बीस गुण ______ करूँ।""",धारण,त्याग,पालन,देखन,3,Medium
"रिक्त स्थान की पूर्ति करें: (मिथ्यातम...) ""हे जिनवाणी भारती, तोहि जपों दिन ______,""",रैन,चैन,नैन,बैन,1,Easy
"रिक्त स्थान की पूर्ति करें: (वीर-हिमाचल...) ""ता शुचि-शारद गंगनदी प्रति, मैं अंजलि करि ______ धरी है ।।""",शीश,हाथ,पुष्प,नीर,1,Medium
"रिक्त स्थान की पूर्ति करें: (छहढाला...) ""तुमको बिन जाने जो कलेश, पायो सो तुम जानत ______।""",गणेश,महेश,सुरेश,जिनेश,4,Easy
"रिक्त स्थान की पूर्ति करें: (बारह भावना...) ""निर्मल अपनी आत्मा, देह ______ गेह।""",पावन,सुन्दर,अपावन,स्वच्छ,3,Easy
"रिक्त स्थान की पूर्ति करें: (देव-शास्त्र-गुरु पूजा...) ""यह पुष्प सुकोमल कितना है! तन में ______ कुछ शेष नहीं|""",मान,माया,क्रोध,लोभ,2,Hard
"रिक्त स्थान की पूर्ति करें: (समयसार...) ""राग धर्ममय धर्म रागमय, अब तक ऐसा ______ था।""",माना,जाना,त्यागा,गाया,1,Medium
"रिक्त स्थान की पूर्ति करें: (सिद्ध पूजा...) ""तुम भोजन बिन अक्षय सुखमय, यह समझ ______ हूँ आया।""",पाने,त्यागने,खाने,देखने,2,Medium
"""शुद्धातम है मेरा नाम"" कविता में 'आधि' और 'व्याधि' का क्या अर्थ है?",आधा और पूरा,मानसिक पीड़ा और शारीरिक रोग,आरंभ और अंत,अमीर और गरीब,2,Medium
"""वीतराग सर्वज्ञ हितंकर"" प्रार्थना में 'भविजन' शब्द किसके लिए आया है?",भविष्य के लिए,भव्य जीवों के लिए,भवन के लिए,भोजन के लिए,2,Easy
"""अति पुण्य उदय मम आया"" भजन में 'द्वादश अनुप्रेक्षा' भाने का क्या मतलब है?",बारह भावनाओं का चिंतन करना,बारह महीनों तक प्रतीक्षा करना,बारह लोगों से अपेक्षा करना,बारह ग्रंथों को पढ़ना,1,Hard
"""मिथ्यातम नाशवे को"" स्तुति में जिनवाणी को किसके समान 'परम प्रमानी' कहा है?",माता-पिता,गुरु,सत्य की कसौटी,राजा की आज्ञa,3,Hard
"""वीर-हिमाचल तें निकसी"" स्तुति में 'मोह-महाचल' क्या है?",मोह रूपी महान पर्वत,हिमालय पर्वत,विंध्याचल पर्वत,सुमेरु पर्वत,1,Medium
छहढाला के मंगलाचरण में 'अरि-रज-रहस विहीन' का क्या अर्थ है?,कर्म रूपी धूल और रहस्य से रहित,शत्रुओं और धूल से रहित,मित्रों और धन से रहित,राग और द्वेष से रहित,1,Hard
"बारह भावना में 'परमारथ तैं आत्मा, एक रूप ही जोय' यह किस नय का कथन है?",व्यवहार नय,निश्चय नय,द्रव्यार्थिक नय,पर्यायार्थिक नय,2,Hard
देव-शास्त्र-गुरु पूजा में 'मिथ्यामल' धोने के लिए किस 'नीर' (जल) का उपयोग किया गया है?,गंगा नीर,यमुना नीर,सम्यक् नीर,वर्षा नीर,3,Medium
"""समयसार जिनदेव हैं"" पद में 'चलते फिरते सिद्धों' की उपमा किसे दी गई है?",अरिहंतों को,आचार्यों को,निर्ग्रन्थ गुरुओं को,उपाध्याय को,3,Hard
सिद्धचक्र पूजा में 'निरामय' और 'निर्विकार' होने का कारण क्या बताया गया है?,रागादि विकारी भावों को जला देना,अच्छा भोजन करना,औषधि लेना,योग करना,1,Medium
"""शुद्धातम है मेरा नाम"" में साधक अंत में क्या बनने की घोषणा करता है?",भक्त,योगी,तपस्वी,भगवान,4,Hard
"""वीतराग सर्वज्ञ हितंकर"" में 'आत्म बल' की वृद्धि के लिए किस मार्ग पर चलने को कहा गया है?",धर्म मार्ग,न्याय मार्ग,भक्ति मार्ग,ज्ञान मार्ग,2,Medium
"""अति पुण्य उदय मम आया"" में 'आनन्दकन्द' किसे कहा गया है?",आत्मा को,जिनेन्द्र को,गुरु को,शास्त्र को,2,Medium
"""मिथ्यातम नाशवे को"" में 'लोकालोक' को कौन प्रकाशित करता है?",सूर्य,चन्द्रमा,जिनवाणी का ज्ञान,दीपक,3,Medium
"""वीर-हिमाचल तें निकसी"" में जिनवाणी रूपी गंगा नदी में कौन सी तरंगें हैं?",जल की तरंगें,वायु की तरंगें,बहुभंग (नय) रूपी तरंगें,प्रकाश की तरंगें,3,Hard
छहढाला में 'भव-सागर' से पार उतारने के लिए जिनेन्द्र को किसके समान बताया है?,नाव,तैराक,जिहाज (जहाज),पुल,3,Medium
"बारह भावना में, जब जीव यह जानता है कि 'सर्व वस्तु विलसाय', तब क्या होता है?",'परतैं ममत न थाय' (पर से ममत्व नहीं होता),'परतैं ममत हो जाय','निज में ममत न थाय','जग से राग हो जाय',1,Hard
"देव-शास्त्र-गुरु पूजा में, 'अंतर-कालुष' को कौन धोता है?",पूजा,भक्ति,दान,निज में स्थिरता,4,Hard
"""समयसार जिनदेव हैं"" में 'समरससानी चर्या' का क्या अर्थ है?",नीरस चर्या,अनेक रस वाली चर्या,समता रस में डूबी हुई चर्या,कठिन चर्या,3,Hard
"सिद्धचक्र पूजा में, 'इच्छा-निरोध' की चाह के बिना क्या नहीं मिट सकता?",भव विषय-दाह,भूख,प्यास,नींद,1,Medium
"रिक्त स्थान की पूर्ति करें: (शुद्धातम...) ""पंच प्रभु का ______ धरेंगे।""",नाम,ध्यान,मान,गान,2,Easy
"रिक्त स्थान की पूर्ति करें: (वीतराग...) ""सुख-दुख में हम ______ धारें,""",विषमता,समता,ममता,क्षमता,2,Medium
"रिक्त स्थान की पूर्ति करें: (अति पुण्य...) ""रुचि लगी हित में ______ के, सत्संग में अब मन लगा।""",जगत,पर,आत्म,देव,3,Medium
"रिक्त स्थान की पूर्ति करें: (मिथ्यातम...) ""जहाँ-तहाँ तारवे को, पार के ______ को,""",उतारवे,चढ़ावे,डुबावे,भगावे,1,Medium
"रिक्त स्थान की पूर्ति करें: (वीर-हिमाचल...) ""या जग-मन्दिर में अनिवार, ______-अंधेर छ्यौ अति भारी।""",राग,द्वेष,मोह,अज्ञान,4,Medium
"रिक्त स्थान की पूर्ति करें: (छहढाला...) ""मैं रहूँ आप में आप ______, सो करो होऊँ ज्यों निजाधीन॥""",लीन,दीन,हीन,प्रवीण,1,Hard
"रिक्त स्थान की पूर्ति करें: (बारह भावना...) ""आतम केवल ______मय, निश्चय-दृष्टि निहार ।।।""",रूप,कर्म,ज्ञान,धर्म,3,Medium
"रिक्त स्थान की पूर्ति करें: (देव-शास्त्र-गुरु पूजा...) ""मैं शांत निराकुल चेतन हूँ, है ______ सहचरि मेरी|""",मुक्तिरमा,संसाररमा,कामिनी,भामिनी,1,Hard
"रिक्त स्थान की पूर्ति करें: (समयसार...) ""दर्शन दाता देव हैं, ग्रागम ______।""",सम्यग्दर्शन,सम्यग्ज्ञान,सम्यक्चारित्र,सम्यक्तप,2,Medium
"रिक्त स्थान की पूर्ति करें: (सिद्ध पूजा...) ""तुम पर के कर्त्ता नहीं नाथ, ______ हो सब के एक साथ।""",भोक्ता,हर्ता,ज्ञाता,धाता,3,Hard
"""शुद्धातम है मेरा नाम"" के अनुसार, 'सप्त तत्त्व' का ज्ञान क्यों आवश्यक है?",जीवन-अजीव की पहचान करने के लिए,धन कमाने के लिए,वाद-विवाद करने के लिए,परीक्षा पास करने के लिए,1,Medium
"""वीतराग सर्वज्ञ हितंकर"" के अनुसार, 'अष्ट करम' किसके हेतु (कारण) हैं?",सुख के,मोक्ष के,दुःख के,ज्ञान के,3,Easy
"""अति पुण्य उदय मम आया"" के अनुसार, 'शुभ शास्त्र का मनन' करने से क्या होता है?",'मन दोष वादन तैं भगै' (मन दोषों के वाद-विवाद से भागता है),मन में दोष बढ़ते हैं,धन की प्राप्ति होती है,नींद आती है,1,Hard
"""मिथ्यातम नाशवे को"" के अनुसार, जिनवाणी किसकी 'परम प्रमानी' (प्रामाणिक कसौटी) है?",स्व-पर पिछानवे को,कथा सुनने को,गीत गाने को,धन पाने को,1,Medium
"""वीर-हिमाचल तें निकसी"" के अनुसार, यदि 'जिन-बैन' (जिनवाणी) न होती तो हम कैसे रहते?",ज्ञानी,सुखी,अविचारी,धनी,3,Medium
"छहढाला के अनुसार, जीव ने 'अपनपो विसरि' (स्वयं को भूलकर) क्या अपना लिया?",रत्नत्रय,निज स्वभाव,विधि-फल पुण्य-पाप,वैराग्य,3,Medium
"बारह भावना के अनुसार, 'मोह निमित्त' से क्या होते हैं?",'विकलप घने' (बहुत विकल्प),समता भाव,ज्ञान की वृद्धि,कर्म की निर्जरा,1,Medium
"देव-शास्त्र-गुरु पूजा के अनुसार, 'व्याकुल का फल' क्या है?",शांति,सुख,ज्ञान,व्याकुलता,4,Easy
"""समयसार जिनदेव हैं"" के अनुसार, 'वीतरागता की पोषक' कौन है?",गुरुवाणी,देववाणी,जिनवाणी,संतवाणी,3,Medium
"सिद्ध पूजा के अनुसार, 'जो लेवे तुमको बस पिछान', वह क्या पाता है?",धन-दौलत,राजपाट,केवल्यज्ञान,स्वर्ग का सुख,3,Hard
"""शुद्धातम है मेरा नाम"" के अनुसार, 'बिना छना जल' लेने से क्या होता है?",पाप बंध होता है,पुण्य बंध होता है,स्वास्थ्य अच्छा रहता है,ज्ञान बढ़ता है,1,Easy
"""वीतराग सर्वज्ञ हितंकर"" के अनुसार, धर्म की उन्नति के लिए क्या बढ़ाना चाहिए?",लड़ाई-झगड़ा,मेल-मिलाप,व्यापार,दिखावा,2,Medium
"""अति पुण्य उदय मम आया"" के अनुसार, 'कर्तादिक भेद' मिटाने का क्या अर्थ है?","मैं कर्ता, कर्म, करण हूँ - इस भेद को मिटाना",कर्ता और भोक्ता में भेद करना,राग और द्वेष में भेद करना,शुभ और अशुभ में भेद करना,1,Hard
"""मिथ्यातम नाशवे को"" के अनुसार, जिनवाणी दिन-रात जपने से क्या मिलता है?",दुःख और क्लेश,सुख और चैन,धन और दौलत,मान और प्रतिष्ठा,2,Easy
"""वीर-हिमाचल तें निकसी"" के अनुसार, 'ज्ञान-पयोनिधि' का क्या अर्थ है?",ज्ञान रूपी नदी,ज्ञान रूपी कुआँ,ज्ञान रूपी समुद्र,ज्ञान रूपी घड़ा,3,Hard
"छहढाला के अनुसार, 'काललब्धि बलतैं' क्या पाकर जीव खुश हुआ?",धन-दौलत,राजपाट,तुम (जिनेन्द्र) दर्शन,पुत्र-परिवार,3,Medium
"बारह भावना के अनुसार, देह को 'अपावन गेह' जानकर उससे क्या त्यागना चाहिए?",भोजन,वस्त्र,सनेह (स्नेह),जल,3,Medium
"देव-शास्त्र-गुरु पूजा के अनुसार, 'तृष्णा की खाई' भरने पर भी कैसी रही?",भर गई,आधी भरी,खाली हो गई,रिक्त रही,4,Medium
"""समयसार जिनदेव हैं"" के अनुसार, 'आगम' क्या है?",सम्यग्दर्शन,सम्यग्ज्ञान,सम्यक्चारित्र,सम्यक्तप,2,Medium
"सिद्ध पूजा के अनुसार, 'भवदधि' (संसार सागर) को पार करने के लिए कोई अन्य आधार क्यों नहीं है?",क्योंकि वह बहुत गहरा है,क्योंकि उसमें जीव निराधार बहते हैं,क्योंकि उसमें मगरमच्छ हैं,उपरोक्त A और B,4,Hard
'शुद्धात्म' का काम क्या है?,मात्र जानना,राग करना,द्वेष करना,कर्म बांधना,1,Easy
'मुक्तिपुरी' में किसका अभाव है?,भूख-प्यास का,आधि-व्याधि का,खाँसी-जुखाम का,उपरोक्त सभी का,4,Easy
'स्वपर-भेद विज्ञान' से किसका ध्यान किया जाता है?,पर-आत्मा का,निज-आत्मा का,परमात्मा का,सिद्ध आत्मा का,2,Medium
'चिदानंद रस' का पान कब होता है?,राग-द्वेष का त्याग करने पर,राग-द्वेष करने पर,भोजन करने पर,जल पीने पर,1,Medium
'सप्त भयों' से कौन नहीं डरता?,जिसे सम्यग्दर्शन प्राप्त हो,जिसे बहुत धन प्राप्त हो,जो बहुत बलवान हो,जो राजा हो,1,Medium
'जीवन-अजीव' की पहचान किससे होती है?,मतिज्ञान से,श्रुतज्ञान से,सप्त तत्त्व के ज्ञान से,केवलज्ञान से,3,Medium
'पंच प्रभु' में कौन शामिल नहीं हैं?,अरिहंत,सिद्ध,आचार्य,ब्रह्मा,4,Easy
'जिनवाणी' के लिए क्या-क्या करने को कहा गया है?,"श्रवण, पठन, मनन","गायन, वादन, नर्तन","देखना, छूना, रखना","खरीदना, बेचना, छिपाना",1,Medium
'मोह भाव' का नाश क्यों आवश्यक है?,निज स्वभाव को प्राप्त करने के लिए,धन प्राप्त करने के लिए,यश प्राप्त करने के लिए,शत्रु को हराने के लिए,1,Medium
अंतिम लक्ष्य 'भगवान' बनने का क्या अर्थ है?,सृष्टि का कर्ता बनना,अपने शुद्ध आत्म-स्वरूप को पाना,दूसरों पर शासन करना,चमत्कार दिखाना,2,Hard
'ज्ञान भानु' के उदय से किसका विनाश होता है?,रात्रि के अंधकार का,मिथ्यात्व रूपी अंधकार का,गरीबी का,रोग का,2,Medium
'पर धन' हरण न करना कौन सा व्रत है?,अहिंसा,सत्य,अचौर्य,ब्रह्मचर्य,3,Easy
'तोष सुधा' का पान करने से क्या नहीं बढ़ता?,तृष्णा और लोभ,ज्ञान और वैराग्य,शक्ति और बल,सुख और शांति,1,Medium
'धर्मोन्नति' का प्रसार कैसे होगा?,बुरी रीतियों को दूर भगाकर,सुखद रीति का प्रचार करके,मेल-मिलाप बढ़ाकर,उपरोक्त सभी से,4,Medium
'अचल जिमी' में 'जिमी' का अर्थ क्या है?,आकाश,वायु,पृथ्वी,जल,3,Hard
'निज आतम बल' की वृद्धि के लिए किस मार्ग पर चलना आवश्यक है?,अन्याय मार्ग,न्याय मार्ग,मोह मार्ग,व्यापार मार्ग,2,Medium
'अष्ट करम' के क्षय का उपाय क्यों करना चाहिए?,क्योंकि वे दुःख के हेतु हैं,क्योंकि वे सुख के हेतु हैं,क्योंकि वे मोक्ष के हेतु हैं,क्योंकि वे धन के हेतु हैं,1,Medium
"'पाप मैल' न चढ़े, इसके लिए क्या शुद्ध होना चाहिए?",शरीर,वस्त्र,घर,आतम (आत्मा),4,Easy
'हाथ जोड़कर शीश नवावें' - यह किसका प्रतीक है?,भय का,अहंकार का,विनय और समर्पण का,थकान का,3,Easy
'चरण-शरण में आन पड़े' - यह कौन सी भावना है?,अशरण भावना,एकत्व भावना,अन्यत्व भावना,शरण्यता की भावना,4,Medium
'अति पुण्य उदय' से क्या प्राप्त हुआ?,धन,राज्य,प्रभु का दर्शन,पुत्र,3,Easy
'जगत को निज जानकर' क्या परिणाम हुआ?,अनंत सुख पाये,अनंत दुःख पाये,मोक्ष पाया,स्वर्ग पाया,2,Medium
'विषय में सुख मानकर' जीव ने क्या किया?,भव-बंध को काटा,भव-बंध को बढ़ाया,मोक्ष मार्ग अपनाया,तपस्या की,2,Medium
'कुमति विमोह' कब पलायन कर गया?,जब प्रभु के पद उर में आये,जब धन आया,जब शत्रु आया,जब मित्र आया,1,Medium
'आत्म के हित' में रुचि लगने पर मन कहाँ लगा?,कुसंग में,सत्संग में,व्यापार में,भोग में,2,Medium
'ममतामय भूत' को भगाकर कवि क्या धारण करना चाहते हैं?,गृहस्थ व्रत,श्रावक व्रत,मुनिव्रत,एकांत व्रत,3,Medium
'दो-बीस परिषह' का अर्थ क्या है?,20 परिषह,22 परिषह,12 परिषह,10 परिषह,2,Hard
'बंध आस्रव परिहरूँ' - इसका क्या अर्थ है?,बंध और आस्रव का त्याग करूँ,बंध और आस्रव को ग्रहण करूँ,बंध और आस्रव को देखूँ,बंध और आस्रव को जानूँ,1,Medium
'कर्तादिक भेद मिटाऊँ' का क्या अभिप्राय है?,"मैं कर्ता हूँ, यह भेद मिटाऊँ","मैं भोक्ता हूँ, यह भेद मिटाऊँ","मैं स्वामी हूँ, यह भेद मिटाऊँ",उपरोक्त सभी,4,Hard
'दुःखद भवसागर' से तरने की कामना कौन कर रहा है?,कवि 'अमर',कवि 'दौलत',कवि 'युगल',कवि 'भागचंद',1,Medium
जिनवाणी को 'भानु-सी' (सूर्य-सी) क्यों कहा गया है?,क्योंकि वह आपा-पर को प्रकाशित करती है,क्योंकि वह गर्म होती है,क्योंकि वह दिन में दिखती है,क्योंकि वह पीली होती है,1,Medium
'छहों द्रव्य' को जानने के लिए क्या 'परम प्रमानी' है?,गुरु,देव,जिनवाणी,अपना मन,3,Medium
जिनवाणी 'भव्य उर' में क्यों आती है?,काहू न सतायवे को (किसी को न सताने का भाव जगाने),सबको सताने को,सबको रुलाने को,सबको भटकाने को,1,Medium
"'जो तेरी शरणा गहै, सो पावे सुख चैन' - यह किसके लिए कहा गया है?",देव के लिए,गुरु के लिए,जिनवाणी के लिए,धन के लिए,3,Easy
'लोकालोक' का ज्ञान किससे होता है?,इंद्रिय ज्ञान से,जिनवाणी के ज्ञान से,अनुमान से,तर्क से,2,Medium
जिनवाणी रूपी नदी कहाँ से निकली और कहाँ गिरी?,"वीर-हिमाचल से निकसी, गुरु-गौतम के मुख-कुण्ड ढरी","सुमेरु से निकसी, समुद्र में गिरी","कैलाश से निकसी, मानसरोवर में गिरी","गंगोत्री से निकसी, गंगासागर में गिरी",1,Hard
जिनवाणी ने किस 'महाचल' (महान पर्वत) को भेद दिया?,मोह-महाचल,मान-महाचल,माया-महाचल,लोभ-महाचल,1,Medium
'ज्ञान-पयोनिधि' का क्या अर्थ है?,ज्ञान रूपी नदी,ज्ञान रूपी कुआँ,ज्ञान रूपी समुद्र,ज्ञान रूपी घड़ा,3,Hard
'जग-मन्दिर' में किसका 'अंधेर' छाया है?,रात्रि का,अज्ञान का,गरीबी का,बादलों का,2,Medium
'जिन-बैन' (जिनवाणी) को 'बड़े उपकारी' क्यों कहा गया है?,क्योंकि वे पदार्थों का यथार्थ ज्ञान कराते हैं,क्योंकि वे धन देते हैं,क्योंकि वे यश देते हैं,क्योंकि वे रोग हरते हैं,1,Medium
'सकल ज्ञेय ज्ञायक तदपि' - इस पंक्ति में जिनेन्द्र को कैसा बताया गया है?,सब कुछ जानते हुए भी निजानंद में लीन,सब कुछ जानते हुए भी चिंतित,कुछ-कुछ जानते हुए,कुछ भी नहीं जानते हुए,1,Hard
'मोह-तिमिर' को हरने के लिए जिनेन्द्र किसके समान हैं?,दीपक,चन्द्रमा,सूर्य,तारे,3,Medium
जिनेन्द्र की 'परम शान्त मुद्रा' किसके लिए है?,देवों के लिए,दानवों के लिए,भवि-जन को निज अनुभूति के लिए,राजाओं के लिए,3,Medium
'तुम धुनि ह्वै सुनि विभ्रम नशाय' - यहाँ 'विभ्रम' का क्या अर्थ है?,भ्रम / संशय,शोर,संगीत,मौन,1,Medium
'निज-पर-विवेक' किससे प्रगट होता है?,धन से,बल से,तुम (जिनेन्द्र) गुण चिन्तत,कुल से,3,Medium
जिनेन्द्र कितने दोषों से रहित हैं?,8,10,12,18,4,Medium
'स्वचतुष्टय' में क्या-क्या शामिल है?,"अनंत दर्शन, ज्ञान, सुख, वीर्य","मति, श्रुत, अवधि, मनःपर्यय","दान, शील, तप, भाव","सम्यक्त्व, ज्ञान, चारित्र, तप",1,Hard
जीव ने स्वयं को भूलकर किसे अपना लिया?,निज गुण को,पुण्य-पाप को,वैराग्य को,समता को,2,Medium
'मृग-मृगतृष्णा' का उदाहरण किसलिए दिया गया है?,अज्ञानता के कारण असत्य को सत्य मानने के लिए,प्यास लगने पर पानी पीने के लिए,जंगल में हिरण के दौड़ने के लिए,शिकार करने के लिए,1,Medium
'काललब्धि' के बल से क्या पाकर जीव खुश हुआ?,धन-दौलत,राजपाट,जिनेन्द्र-दर्शन,पुत्र-रत्न,3,Medium
कवि जिनेन्द्र से कौन सी 'निधि' मांग रहे हैं?,नवनिधि,रत्नत्रय-निधि,सुख-निधि,ज्ञान-निधि,2,Hard
'दुःख जलधि' से पार उतारने के लिए जिनेन्द्र किसके समान हैं?,नाव,पतवार,जिहाज (जहाज),टापू,3,Medium
'गणपति' भी किसके गुणों का पार नहीं पा सकते?,ब्रह्मा के,विष्णु के,जिनेन्द्र के,महेश के,3,Hard
'द्रव्य दृष्टि' से किसे देखने को कहा गया है?,पर को,आपा (आत्मा) को,शरीर को,कर्म को,2,Medium
जगत में शरणभूत कितने बताये गए हैं?,एक (आत्मा),दो (शुद्धात्म और पंच गुरु),"तीन (देव, शास्त्र, गुरु)",पाँच (पंच परमेष्ठी),2,Hard
'पर द्रव्यन तें प्रीति' का फल क्या है?,मोक्ष,स्वर्ग,चार गति में भ्रमण,मनुष्य जन्म,3,Medium
'मोह निमित्त' से आत्मा में क्या होते हैं?,समता भाव,विकल्प घने,केवलज्ञान,वैराग्य,2,Medium
देह को 'अपावन गेह' जानकर उससे क्या त्यागना चाहिए?,भोजन,वस्त्र,सनेह (स्नेह),घर,3,Easy
'निश्चय संवर' क्या है?,व्रत करना,उपवास करना,निजस्वरूप में लीनता,दान देना,3,Hard
आत्मा निजस्वरूप को पाकर कहाँ ठहरता है?,स्वर्ग में,नरक में,मध्यलोक में,लोक शिखर पर,4,Medium
'बोधि' निश्चय से दुर्लभ क्यों नहीं है?,क्योंकि वह बाजार में मिलती है,क्योंकि वह आत्मा का स्वभाव है,क्योंकि गुरु उसे देते हैं,क्योंकि वह मुफ्त है,2,Hard
आत्मा का धर्म क्या बताया गया है?,राग-द्वेष,दर्श-ज्ञानमय चेतना,खाना-पीना,सोना-जागना,2,Medium
'केवल-रवि-किरणों' से किसका अंतर प्रकाशित है?,जिनवाणी का,गुरु का,देव का,भक्त का,1,Medium
'सद्दर्शन-बोध-चरण-पथ' पर कौन बढ़ते हैं?,देवगण,मुनिगण,श्रावक,सभी मनुष्य,2,Medium
'इन्द्रिय के भोग' को किसके समान बताया गया है?,अमृत,मधुर विष,शहद,मिश्री,2,Medium
'मिथ्यामल' को धोने के लिए किस जल का प्रयोग किया गया है?,गंगाजल,सम्यक्-नीर,यमुना जल,सरोवर जल,2,Hard
प्रतिकूल संयोगों में क्रोधित होकर क्या बढ़ाया है?,ज्ञान,धन,संसार,मान,3,Medium
चेतन किस पर झुककर 'नश्वर वैभव' को अपनाता है?,जड़ पर,आत्मा पर,धर्म पर,गुरु पर,1,Medium
"कवि के चिंतन, सम्भाषण और क्रिया में किसका अभाव है?",माया का,ऋजुता (सरलता) का,क्रोध का,लोभ का,2,Hard
'तृष्णा की खाई' भरने के प्रयासों के बाद भी कैसी रही?,भर गई,आधी भरी,खाली हो गई,रिक्त रही,4,Easy
'जड़-कर्म घुमाता है मुझको' - यह कैसी भ्रांति है?,सच्ची,झूठी,मिथ्या-भ्रांति,सम्यक्-भ्रांति,3,Medium
'व्याकुल का फल' क्या होता है?,सुख,शांति,व्याकुलता,ज्ञान,3,Easy
'मुक्तिरमा' को क्या बताया गया है?,दासी,स्वामिनी,सहचरि (साथिन),शत्रु,3,Hard
'अरिहंत-अवस्था' में कौनसा 'रवि' जगमग करता है?,सूर्य,चन्द्र,केवल-रवि,ज्ञान-रवि,3,Medium
जयमाला में 'मृगतृष्णा' के पीछे कौन घूम रहा है?,मृग,कवि स्वयं (जीव),सिंह,हाथी,2,Medium
जयमाला के अनुसार क्या क्षणभंगुर है?,आत्मा,कर्म,"तन, जीवन, यौवन",धर्म,3,Easy
'अशरण' भावना में कौन मृत्यु को नहीं टाल सकता?,सम्राट् महाबली सेनानी,गरीब व्यक्ति,साधु,देव,1,Medium
'एकत्व' भावना के अनुसार जीव इस संसार में कैसे आता है?,परिवार सहित,मित्रों सहित,एकाकी एकत्व लिए,अकेले और दुःखी,3,Medium
